"Number" "Date" "Time" "Interface" "Origin" "Type" "Action" "Service" "Source Port" "Source" "Destination" "Protocol" "Rule" "Rule Name" "Current Rule Number" "User" "Information" "Product" "Source Machine Name" "Source User Name"
"2936550" "1Jun2023" "11:38:02" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52236" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"2944814" "1Jun2023" "11:43:27" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "51380" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"3106333" "1Jun2023" "13:48:58" "eth1" "fwnetels" "Log" "Accept" "https" "50421" "192.100.100.105" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"3347876" "1Jun2023" "18:51:50" "eth1" "fwnetels" "Log" "Accept" "https" "51577" "192.100.100.234" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"3378006" "1Jun2023" "19:54:23" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "52275" "SRV_NS" "205.251.192.74" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"3378073" "1Jun2023" "19:54:27" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "51814" "SRV_NS" "205.251.192.74" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"3629728" "2Jun2023" "6:15:11" "eth1" "fwnetels" "Log" "Accept" "https" "56880" "192.100.100.250" "107.23.224.31" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"3630319" "2Jun2023" "6:16:11" "eth1" "fwnetels" "Log" "Accept" "https" "56899" "192.100.100.250" "107.23.224.31" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"3662493" "2Jun2023" "6:59:29" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "52575" "SRV_NS" "74.123.224.37" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"3710272" "2Jun2023" "7:49:43" "eth1" "fwnetels" "Log" "Accept" "https" "50004" "SRV_CTX_XA7" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
